ticker,Security,SEC filings,GICS Sector,GICS Sub-Industry,Headquarters Location,Date first added,CIK,Founded,Price/Book (mrq),Trailing P/E,Forward P/E 1,PEG Ratio (5 yr expected) 1,Price/Sales (ttm),Total Debt/Equity (mrq),Diluted EPS (ttm),Trailing Annual Dividend Yield 3,Forward Annual Dividend Yield 4,% Held by Insiders 1,% Held by Institutions 1,Return on Equity (ttm),Return on Assets (ttm),Quarterly Earnings Growth (yoy),current_price
PHM,PulteGroup,reports,Consumer Discretionary,Homebuilding,"Atlanta, Georgia",1984-04-30,822416,1956,2.35,10.74,8.30,2.77,1.40,50.85,5.18,0.80%,0.94%,3.50%,90.66%,23.39%,9.68%,30.50%,59.12
CNC,Centene Corporation,reports,Health Care,Managed Health Care,"St. Louis, Missouri",2016-03-30,1071739,1984,1.34,14.32,11.53,1.00,0.31,69.07,4.19,,,1.15%,94.56%,9.74%,4.33%,"1,419.60%",61.74
HOLX,Hologic,reports,Health Care,Health Care Equipment,"Marlborough, Massachusetts",2016-03-30,859737,1985,5.22,12.54,8.00,0.32,3.83,73.74,7.28,,,0.60%,97.52%,64.65%,21.16%,543.70%,65.55
DHI,D. R. Horton,reports,Consumer Discretionary,Homebuilding,"Arlington, Texas",2005-06-22,882184,1978,2.82,11.77,10.88,0.72,1.55,34.32,8.63,0.74%,0.79%,10.01%,83.60%,26.60%,13.30%,92.60%,98.29
PGR,Progressive Corp.,reports,Financials,Property & Casualty Insurance,"Mayfield Village, Ohio",1997-08-04,80661,1937,3.34,9.27,17.30,24.73,1.34,30.26,11.00,4.81%,0.39%,0.30%,84.04%,40.02%,8.62%,111.70%,100.74
ATO,Atmos Energy,reports,Utilities,Gas Utilities,"Dallas, Texas",2019-02-15,731802,1906,1.82,19.92,20.28,2.86,4.44,71.05,5.15,2.30%,2.45%,1.01%,90.61%,9.60%,3.49%,21.80%,103.59
EXPD,Expeditors,reports,Industrials,Air Freight & Logistics,"Seattle, Washington",2007-10-10,746515,1979,7.03,27.24,24.81,4.21,1.87,16.45,4.07,0.94%,0.94%,0.60%,96.61%,28.73%,13.64%,44.60%,109.86
CINF,Cincinnati Financial,reports,Financials,Property & Casualty Insurance,"Fairfield, Ohio",1997-12-18,20286,1950,1.61,5.91,28.01,,1.84,7.61,18.85,2.18%,2.26%,7.43%,71.69%,31.93%,9.43%,,112.68
TER,Teradyne,reports,Information Technology,Semiconductor Equipment,"North Reading, Massachusetts",2020-09-21,97210,1960,9.37,29.73,28.82,,7.56,21.42,4.28,0.31%,0.31%,0.32%,98.69%,42.53%,17.51%,57.00%,125.08
PKI,PerkinElmer,reports,Health Care,Health Care Equipment,"Waltham, Massachusetts",1985-05-31,31791,1937,3.91,20.08,15.22,1.75,3.87,59.41,6.50,0.21%,0.21%,0.30%,96.95%,22.23%,8.50%,489.70%,129.63
DGX,Quest Diagnostics,reports,Health Care,Health Care Services,"Secaucus, New Jersey",2002-12-12,1022079,1967,2.55,9.96,11.31,1.23,1.73,67.86,13.18,1.75%,1.89%,0.56%,93.52%,29.77%,12.45%,373.70%,131.88
AMAT,Applied Materials Inc.,reports,Information Technology,Semiconductor Equipment,"Santa Clara, California",1995-03-16,6951,1967,10.83,32.39,22.68,1.81,6.86,49.66,4.18,0.65%,0.71%,0.37%,82.88%,38.31%,14.14%,26.70%,132.71
PG,Procter & Gamble,reports,Consumer Staples,Personal Products,"Cincinnati, Ohio",1957-03-04,80424,1837,7.1,24.36,22.08,3.47,4.62,63.57,5.44,2.39%,2.63%,0.10%,66.14%,30.65%,9.64%,12.10%,133.42
APTV,Aptiv PLC,reports,Consumer Discretionary,Auto Parts & Equipment,"Dublin, Ireland",2012-12-24,1521332,1994,4.95,21.7,38.17,1.58,2.99,55.57,6.66,0.15%,,0.55%,97.69%,30.09%,3.27%,30.00%,143.89
AIZ,Assurant,reports,Financials,Multi-line Insurance,"New York, New York",2007-04-10,1267238,1892,1.59,22.39,16.69,,0.98,39.14,6.99,1.63%,1.69%,1.00%,93.84%,7.61%,1.10%,9.10%,155.6
JBHT,J. B. Hunt Transport Services,reports,Industrials,Trucking,"Lowell, Arkansas",2015-07-01,728535,1961,6.68,33.53,26.60,1.77,1.84,47.81,5.13,0.63%,0.70%,20.47%,75.15%,21.89%,8.30%,39.80%,170.71
TROW,T. Rowe Price Group,reports,Financials,Asset Management & Custody Banks,"Baltimore, Maryland",,1113169,1937,5.37,18.22,15.02,1.78,6.77,1.66,9.98,1.98%,2.38%,0.97%,72.39%,28.85%,17.17%,43.70%,179.2
ARE,Alexandria Real Estate Equities,reports,Real Estate,Office REITs,"Pasadena, California",2017-03-20,1035443,1994,2.04,30.4,47.17,,12.17,60.11,5.74,2.39%,2.43%,1.13%,93.06%,6.40%,1.59%,-56.70%,181.1
SWKS,Skyworks Solutions,reports,Information Technology,Semiconductors,"Woburn, Massachusetts",2015-03-12,4127,2002,7.4,31.16,21.74,1.37,8.41,4.21,6.33,0.95%,1.01%,0.32%,78.71%,24.58%,14.53%,98.10%,181.33
ADP,Automatic Data Processing,reports,Information Technology,Data Processing & Outsourced Services,"Roseland, New Jersey",1981-03-31,8670,1949,14.21,32.71,29.24,3.40,5.52,41.51,5.76,0.48%,1.97%,0.11%,81.28%,44.28%,4.23%,-1.20%,186.99
AVB,AvalonBay Communities,reports,Real Estate,Residential REITs,"Arlington, Virginia[3]",2007-01-10,915912,1978,2.49,32.51,66.67,5.82,11.69,72.02,5.89,3.32%,3.32%,0.34%,94.05%,7.61%,2.33%,103.50%,192.0
CME,CME Group Inc.,reports,Financials,Financial Exchanges & Data,"Chicago, Illinois",2006-08-11,1156375,1848,2.76,38.22,30.03,4.88,15.83,12.97,5.33,1.69%,1.77%,0.46%,87.42%,7.20%,1.02%,-25.00%,201.99
MHK,Mohawk Industries,reports,Consumer Discretionary,Home Furnishings,"Calhoun, Georgia",2013-12-23,851968,1878,1.74,29.5,19.72,,1.59,35.91,49.90,,,19.00%,78.95%,6.19%,3.45%,-6.20%,205.5
VRTX,Vertex Pharmaceuticals Inc,reports,Health Care,Biotechnology,"Cambridge, Massachusetts",2013-09-23,875320,1989,6.31,20.59,18.52,0.38,8.99,10.85,10.29,,,0.14%,95.40%,36.71%,17.87%,3.60%,218.2
CMI,Cummins Inc.,reports,Industrials,Industrial Machinery,"Columbus, Indiana",1965-03-31,26172,1919,4.67,21.38,18.25,1.73,1.93,51.82,12.01,2.06%,2.10%,0.44%,86.22%,20.75%,5.64%,67.00%,252.04
MSFT,Microsoft Corp.,reports,Information Technology,Systems Software,"Redmond, Washington",1994-06-01,789019,1975,14.14,34.4,30.77,2.50,12.04,60.41,7.34,0.87%,0.89%,0.07%,72.37%,44.99%,13.51%,43.80%,252.18
WLTW,Willis Towers Watson,reports,Financials,Insurance Brokers,"London, United Kingdom",2016-01-05,1140536,2016,2.96,32.44,21.69,1.76,3.45,61.53,7.65,1.12%,1.14%,0.55%,100.70%,9.58%,2.91%,-12.50%,258.86
